koi_period,koi_depth,koi_duration,koi_impact,koi_prad,koi_steff,koi_slogg,koi_srad,pred,label
9.48803557,615.8,2.9575,0.146,2.26,5455.0,4.467,0.927,2,CONFIRMED
54.4183827,874.8,4.507,0.586,2.83,5455.0,4.467,0.927,2,CONFIRMED
19.89913995,10829.0,1.7822,0.969,14.6,5853.0,4.544,0.868,1,CANDIDATE
1.736952453,8079.2,2.40641,1.276,33.46,5805.0,4.564,0.791,0,FALSE_POS
2.525591777,603.3,1.6545,0.701,2.75,6031.0,4.438,1.046,2,CONFIRMED
11.09432054,1517.5,4.5945,0.538,3.9,6046.0,4.486,0.972,2,CONFIRMED
4.13443512,686.0,3.1402,0.762,2.77,6046.0,4.486,0.972,2,CONFIRMED
2.56658897,226.5,2.429,0.755,1.59,6046.0,4.486,0.972,2,CONFIRMED
7.36178958,233.7,5.022,1.169,39.21,6227.0,3.986,1.958,0,FALSE_POS
16.06864674,4914.3,3.5347,0.052,5.76,5031.0,4.485,0.848,2,CONFIRMED
2.470613377,14231.0,1.74319,0.818,13.04,5820.0,4.457,0.964,2,CONFIRMED
2.204735417,6674.7,3.88864,0.224,16.1,6440.0,4.019,1.952,2,CONFIRMED
3.522498429,9145.7,3.19843,0.631,14.59,6225.0,4.169,1.451,2,CONFIRMED
3.709214104,131.0,2.6302,0.051,1.16,5833.0,4.407,1.022,2,CONFIRMED
11.521446064,17984.0,3.6399,2.483,150.51,5795.0,4.554,0.848,0,FALSE_POS
19.40393776,8918.7,12.2155,0.804,7.18,5043.0,4.591,0.68,0,FALSE_POS
19.221388942,74284.0,4.79843,1.065,49.29,6117.0,4.496,0.947,0,FALSE_POS
16.46983774,10479.0,9.4378,0.292,7.94,5152.0,4.517,0.786,2,CONFIRMED
9.27358173,1288.3,3.2875,0.387,2.47,4856.0,4.583,0.696,2,CONFIRMED
6.02930329,1912.7,1.5821,0.258,2.85,4537.0,4.648,0.672,2,CONFIRMED
2.696370652,397.9,3.6129,0.044,1.58,4989.0,4.504,0.819,0,FALSE_POS
5.349553819,831.0,3.0278,0.092,2.55,5185.0,4.44,0.91,2,CONFIRMED
3.94105221,363.3,2.5984,0.226,1.7,5185.0,4.44,0.91,2,CONFIRMED
8.10904807,217.4,3.596,0.025,1.3,5185.0,4.44,0.91,2,CONFIRMED
386.6030528,24927.0,6.8057,0.9765,41.5,5543.0,4.081,1.58,0,FALSE_POS
21.67699193,857.2,3.4555,0.896,2.95,4954.0,4.5,0.828,2,CONFIRMED
4.99677968,934.7,2.1717,0.71,2.78,5339.0,4.552,0.847,2,CONFIRMED
4.280963604,750.8,2.875,0.424,2.3,5644.0,4.564,0.831,2,CONFIRMED
1.50635409,2211.7,1.5155,0.86,4.53,5714.0,4.563,0.831,0,FALSE_POS
670.645531,18091.0,53.412,0.701,14.14,5520.0,4.466,0.983,0,FALSE_POS
